Layer thickness,Nozzle temp,Bed temp,Print speed,Material type,Model complexity,Print time,Printer type,Humidity,Cooling method,Defective
0.24,256,90,41,Nylon,High,4.1,SLS,23,Passive,1
0.39,260,76,52,PETG,High,3.8,FDM,59,Fan,1
0.4,214,57,34,Nylon,High,5.0,SLA,32,Passive,0
0.28,211,63,86,PLA,Low,2.6,FDM,26,Fan,1
0.27,225,90,44,PLA,Medium,1.8,SLS,22,Passive,0
0.16,215,82,93,PETG,High,2.5,SLA,61,Fan,1
0.25,257,108,42,ABS,High,6.3,SLA,46,Fan,1
0.31,252,66,51,ABS,Low,4.7,FDM,67,Passive,1
0.2,249,71,71,ABS,Low,8.4,FDM,49,Active cooling,0
0.11,231,110,71,Nylon,Medium,6.1,SLS,31,Active cooling,0
0.24,227,53,61,PLA,Low,7.3,SLA,50,Active cooling,0
0.22,198,110,34,PETG,Low,3.9,SLA,27,Passive,0
0.22,196,62,91,PETG,Low,5.6,FDM,61,Active cooling,1
0.11,229,58,99,PETG,High,7.3,SLS,70,Fan,1
0.37,230,102,74,Nylon,Low,0.8,SLS,43,Passive,0
0.37,212,107,65,Nylon,Medium,9.3,FDM,28,Active cooling,0
0.33,214,62,94,Nylon,Medium,6.5,SLS,60,Fan,1
0.3,227,64,49,PLA,High,4.4,SLS,46,Active cooling,0
0.35,194,52,90,PETG,High,3.9,FDM,48,Fan,1
0.15,191,93,67,ABS,Low,7.2,SLA,58,Active cooling,1
0.26,259,102,99,PETG,Medium,7.2,FDM,52,Active cooling,1
0.37,255,60,47,ABS,Medium,5.8,SLA,65,Passive,1
0.13,256,58,34,Nylon,Medium,2.4,SLS,39,Active cooling,1
0.31,243,100,33,ABS,Medium,0.7,SLA,67,Passive,1
0.39,238,60,36,ABS,Low,2.3,SLA,42,Fan,0
0.26,253,100,35,PLA,High,2.4,SLS,31,Passive,1
0.32,239,63,60,ABS,Low,9.2,SLS,66,Fan,1
0.31,216,64,54,PETG,Medium,5.5,SLS,53,Fan,0
0.19,244,87,61,Nylon,Low,6.6,FDM,43,Fan,0
0.24,223,76,37,PETG,Medium,7.5,FDM,22,Active cooling,0
0.15,247,79,69,ABS,Medium,5.8,FDM,39,Active cooling,0
