Cutting speed,Feed rate,Tool nose radius,Depth of cut,Tool material,Workpiece material,Machining time,Spindle speed,Coolant use,Operator ID,Roughness
143.64,0.133,0.61,2.05,HSS,Brass,446.1,2206,0,OP012,321.3658537
287.68,0.294,0.6,2.41,Carbide,Steel,233.92,2679,0,OP004,243.6108053
233,0.443,1.13,0.83,Carbide,Brass,66.42,1094,1,OP016,716.0651636
199.66,0.38,0.6,1.91,Ceramic,Steel,72.37,2947,1,OP020,165.0537338
89,0.413,0.62,1.76,Ceramic,Brass,95.76,1466,0,OP018,75.91349329
89,0.346,1.01,2.52,Carbide,Aluminum,525.72,1168,1,OP004,103.0943206
64.52,0.362,0.76,2.73,Carbide,Aluminum,299.17,1554,1,OP006,49.61771194
266.54,0.432,1.02,0.14,HSS,Brass,436.34,736,0,OP015,4495.218254
200.28,0.162,0.45,2.05,Ceramic,Brass,253.96,814,0,OP001,271.3821138
227.02,0.27,0.79,0.25,HSS,Aluminum,177.47,1536,0,OP003,2656.974815
55.15,0.15,0.43,1.69,HSS,Brass,227.9,2406,0,OP005,93.54832347
292.48,0.494,0.45,0.93,HSS,Steel,482.68,2751,0,OP017,286.4829568
258.11,0.475,1.13,0.99,Carbide,Steel,386.37,2162,0,OP014,620.2324296
103.08,0.068,0.51,1.12,HSS,Steel,564.45,763,1,OP009,690.2678571
95.46,0.368,0.83,1.9,HSS,Steel,417.43,2180,0,OP003,113.3177918
95.85,0.466,0.73,1.07,Carbide,Steel,355,2089,1,OP013,140.3283061
126.06,0.131,0.68,2.22,Ceramic,Brass,377.81,2514,1,OP003,294.7555189
181.19,0.306,1.12,1.27,Ceramic,Brass,567.15,2563,0,OP011,522.1882559
157.99,0.462,0.42,0.3,HSS,Steel,479.27,2671,1,OP002,478.7575758
122.81,0.065,0.93,2.37,Carbide,Brass,43.7,1535,0,OP015,741.4040896
202.96,0.364,1.17,0.93,Ceramic,Brass,334.46,2245,1,OP013,701.4746544
84.87,0.184,0.85,1.36,HSS,Steel,422.35,1171,0,OP019,288.28125
123.04,0.466,1.15,2.09,HSS,Brass,456.76,2998,0,OP016,145.2820502
141.59,0.487,0.44,1.06,Carbide,Brass,151.49,938,0,OP018,120.6842044
164.02,0.475,0.74,0.26,HSS,Brass,524.29,525,0,OP007,982.7919028
246.29,0.263,0.61,1.18,Ceramic,Steel,574.83,872,1,OP013,484.1042083
99.92,0.438,0.98,2.84,Carbide,Brass,164.93,2440,1,OP004,78.72017493
178.56,0.43,1.19,1.96,Ceramic,Aluminum,533.09,1617,1,OP009,252.1196013
198.1,0.194,0.61,2.05,Ceramic,Aluminum,85.28,1619,1,OP010,303.8496354
61.61,0.423,0.92,1.93,Ceramic,Steel,61.75,2888,1,OP009,69.42907189
201.89,0.067,0.56,0.68,HSS,Aluminum,103.66,2799,0,OP007,2481.527656
92.63,0.318,0.85,1.31,HSS,Steel,62.91,1278,0,OP015,189.0045129
66.26,0.154,0.77,2.28,Ceramic,Aluminum,511.66,1023,0,OP008,145.3070175
287.22,0.104,1.18,0.39,Ceramic,Aluminum,63.66,2621,0,OP019,8356.005917
291.41,0.085,0.89,0.91,Carbide,Aluminum,184.85,2765,0,OP011,3353.004525
252.1,0.363,0.68,0.9,Carbide,Steel,89.14,1854,1,OP005,524.7260484
126.15,0.203,0.49,1.35,HSS,Steel,198.39,2074,0,OP002,225.5555556
74.42,0.376,0.52,2.94,HSS,Brass,81.62,1142,0,OP010,35.00723694
221.06,0.079,0.58,0.3,Carbide,Steel,410.76,2502,1,OP016,5409.907173
160.04,0.192,0.6,1.6,Ceramic,Aluminum,106,2080,1,OP013,312.578125
80.51,0.293,1.08,0.62,HSS,Aluminum,515.55,1759,0,OP008,478.6458219
173.79,0.406,0.85,2.91,Ceramic,Steel,495.8,650,0,OP009,125.03301
58.6,0.193,0.82,0.43,Carbide,Steel,37.79,2790,1,OP011,579.0095192
277.33,0.332,0.49,1.27,HSS,Steel,540.56,2039,0,OP011,322.2931885
114.69,0.449,1.09,2.24,HSS,Brass,46.5,982,0,OP016,124.2961542
215.63,0.327,0.98,2.14,Carbide,Aluminum,166.6,2016,0,OP010,301.976907
127.93,0.155,0.45,1.33,HSS,Brass,48.46,2194,1,OP012,279.2553966
180.02,0.061,0.97,1.1,Carbide,Brass,221.43,1814,0,OP006,2602.375559
186.68,0.442,0.83,1.25,HSS,Aluminum,322.9,2295,0,OP012,280.4423529
96.21,0.06,0.47,0.87,Carbide,Aluminum,484.09,1954,1,OP010,866.2586207
292.4,0.444,0.77,0.7,HSS,Steel,222.65,2869,1,OP018,724.4144144
243.78,0.288,0.79,1.5,Ceramic,Steel,432.13,634,1,OP018,445.8013889
284.87,0.473,0.53,0.88,Ceramic,Brass,136.88,766,0,OP004,362.7260715
273.71,0.409,1.16,0.93,Ceramic,Steel,457.84,934,1,OP009,834.7230328
199.47,0.499,1.08,2,HSS,Steel,164.52,2225,0,OP007,215.8593186
280.47,0.208,0.94,2.91,HSS,Aluminum,111.82,2114,1,OP018,435.5699841
72.12,0.395,0.77,1.85,Ceramic,Aluminum,135.68,2730,0,OP008,75.9937051
99,0.231,0.73,0.32,Ceramic,Steel,133.78,2332,1,OP011,977.6785714
61.31,0.266,0.92,0.32,Carbide,Aluminum,322.33,1771,0,OP007,662.6550752
131.33,0.332,0.84,2.86,Carbide,Steel,511.53,2980,0,OP009,116.1820709
147.17,0.443,0.45,0.96,Carbide,Aluminum,75.37,1165,1,OP008,155.7244639
117.84,0.493,0.81,0.37,Ceramic,Aluminum,432.97,2583,1,OP003,523.2739433
257.18,0.396,1.05,1.84,Ceramic,Aluminum,402.98,1567,0,OP017,370.6068841
139.19,0.238,0.77,1.91,Ceramic,Aluminum,527.34,2122,1,OP002,235.7699415
120.23,0.24,0.44,1.98,Carbide,Steel,169.16,2318,0,OP015,111.3240741
185.67,0.382,1.03,0.88,HSS,Brass,286.56,2084,1,OP014,568.8960614
85.23,0.157,0.56,0.14,Ceramic,Aluminum,557.72,851,1,OP018,2171.464968
250.55,0.1,0.61,2.9,HSS,Steel,406.2,1607,0,OP016,527.0189655
68.64,0.21,0.53,0.83,HSS,Steel,251.6,1904,1,OP020,208.7160069
296.72,0.179,0.66,2.06,HSS,Aluminum,104.91,2623,1,OP004,531.092911
243.06,0.183,1.01,2.15,Carbide,Brass,179.62,1609,0,OP020,623.9435761
99.68,0.155,0.82,1.87,HSS,Aluminum,361.29,2797,0,OP006,281.999655
51.38,0.069,0.56,1.01,Ceramic,Steel,439.36,1601,1,OP006,412.8684173
253.87,0.058,1.1,0.89,Carbide,Brass,100.92,1872,0,OP011,5409.860519
226.71,0.494,1.1,1.83,Ceramic,Steel,371.77,2491,1,OP017,275.857835
232.25,0.242,1.1,2.61,Ceramic,Aluminum,343.7,1958,1,OP003,404.4757924
242.82,0.223,0.59,2.85,Carbide,Brass,322.95,2901,0,OP013,225.4170404
68.51,0.356,0.76,0.41,Ceramic,Steel,423.37,2151,0,OP003,356.7251302
139.62,0.148,1.19,0.55,Ceramic,Steel,507.35,1807,0,OP016,2041.127764
78.97,0.477,1.02,2.84,Carbide,Steel,214.1,559,0,OP015,59.4600939
265.78,0.404,0.42,2.24,Ceramic,Aluminum,536.74,1534,0,OP011,123.3508663
205.82,0.09,0.45,2.66,HSS,Brass,121.56,1248,0,OP018,386.8796992
132.72,0.238,0.77,0.69,Ceramic,Aluminum,128.62,2370,1,OP015,622.3017903
65.89,0.446,1.13,1.8,HSS,Aluminum,182.06,1021,1,OP005,92.74501744
127.75,0.475,0.83,2.13,Ceramic,Aluminum,98.13,1013,0,OP016,104.8010872
131.3,0.26,0.8,2.07,Carbide,Brass,161.28,974,1,OP016,195.1690821
232.4,0.326,0.48,1.28,Carbide,Aluminum,90.65,814,1,OP017,267.3312883
209.39,0.125,0.93,0.14,Ceramic,Aluminum,498.4,1278,1,OP009,11127.58286
271.8,0.496,1.06,1.79,Carbide,Aluminum,109.21,2715,1,OP003,324.5044152
168.05,0.154,0.7,0.83,Ceramic,Aluminum,455.96,2437,0,OP020,920.3176342
79.9,0.474,1.02,1.41,Carbide,Steel,57.31,2338,1,OP013,121.9409283
228.31,0.342,1.17,2.88,HSS,Aluminum,570.66,2493,1,OP003,271.2015716
240.2,0.323,0.56,1.26,Ceramic,Steel,435.36,1174,0,OP007,330.5125559
190.32,0.281,0.82,2.54,HSS,Aluminum,33.87,2719,0,OP006,218.654412
242.74,0.154,0.63,0.65,HSS,Brass,465.4,843,0,OP009,1527.734266
173.45,0.129,1.03,2.05,Ceramic,Steel,323.03,1341,0,OP012,675.5662696
180.68,0.149,0.86,2.93,HSS,Steel,474.24,1967,1,OP015,355.9218453
156.89,0.134,0.91,0.4,Ceramic,Steel,327.82,757,0,OP020,2663.617537
56.35,0.401,1.04,0.12,HSS,Steel,395.38,2325,1,OP003,1217.871987
76.97,0.208,0.72,1.36,Ceramic,Brass,478.21,1468,1,OP010,195.9078054
57.86,0.076,1.13,0.37,Ceramic,Aluminum,260.91,2461,0,OP001,2325.099573
209.1,0.486,0.83,2.27,Carbide,Steel,31.54,1732,0,OP019,157.3149508
128.59,0.448,0.53,2.75,Ceramic,Brass,514.47,952,0,OP019,55.31875
177.14,0.467,0.96,1.36,Ceramic,Steel,247.11,2337,0,OP013,267.751606
276.89,0.498,1.03,0.85,HSS,Aluminum,312.74,1130,0,OP012,673.746043
112.32,0.128,0.65,1.36,Ceramic,Steel,34.43,1727,0,OP001,419.3933824
152.6,0.228,1.09,2.2,Carbide,Brass,310.49,689,1,OP019,331.6068581
238.89,0.391,1.12,0.13,HSS,Aluminum,592.3,2045,1,OP016,5263.757623
107.2,0.363,0.62,1.81,HSS,Brass,188.61,2165,1,OP015,101.1582424
69.24,0.119,1.19,1.88,Carbide,Aluminum,255.39,1447,1,OP016,368.2978723
122.44,0.417,0.51,1.95,HSS,Aluminum,421.7,2886,0,OP011,76.79321158
90.31,0.151,0.56,0.8,HSS,Aluminum,494.43,2685,0,OP006,418.6556291
282.42,0.151,0.55,2.17,HSS,Steel,267.91,2270,1,OP011,474.0470595
252.03,0.292,1.12,0.37,HSS,Brass,206.51,2284,1,OP003,2612.676786
